h,k,l,Fo^2_raw,Fo^2_sigma_raw,asu_h,asu_k,asu_l,Resolution,xobs,yobs,zobs,frame,Fc^2,Fo^2_fcf,Fo^2_sigma_fcf,fcf_asu_count,Fo^2_scaled,Fo^2_sigma_scaled,SRES,absSRES,Miller,asu,hkl
0,-9,15,5365.119999999999,3458.59,0,15,9,0.6807922168207128,9.7,260.5,9.4,9,13.06,14.56,6.71,11,4.325370005783621,2.788321873192618,-3.1325759332853713,3.1325759332853713,"(0, -9, 15)","(0, 15, 9)","(0, -9, 15)"
2,1,-16,1129.44,1698.96,1,16,2,0.7371485941168371,430.2,139.0,9.4,9,0.72,2.8,1.87,27,0.9105566882627517,1.3697048015750146,0.13912245035837784,0.13912245035837784,"(2, 1, -16)","(1, 16, 2)","(2, 1, -16)"
3,-13,4,26155.0,11103.0,3,13,4,0.8550163710978645,103.6,127.9,9.7,10,4.4,7.98,3.8150000000000004,28,21.086211026271666,8.95125983653964,1.8641187197088658,1.8641187197088658,"(3, -13, 4)","(3, 13, 4)","(3, -13, 4)"
-4,6,13,2586.75,2005.5300000000002,4,13,6,0.8010860303702088,143.6,421.9,9.7,10,1.81,3.81,2.43,23,2.085442797637478,1.6168621219468025,0.17035639211204204,0.17035639211204204,"(-4, 6, 13)","(4, 13, 6)","(-4, 6, 13)"
-2,4,5,14306.999999999998,6020.86,2,5,4,1.7752889029363332,218.2,335.1,9.9,10,7.09,30.27,12.4,23,11.534330764781826,4.85402884800757,0.9155962817580054,0.9155962817580054,"(-2, 4, 5)","(2, 5, 4)","(-2, 4, 5)"
-4,16,-6,3533.1,2254.63,4,16,6,0.6785782525289142,428.1,392.2,10.1,10,4.0,5.1850000000000005,3.045,26,2.8483919777067643,1.8176870183965927,-0.633556828341705,0.633556828341705,"(-4, 16, -6)","(4, 16, 6)","(-4, 16, -6)"
-6,13,12,1778.7900000000002,1311.4699999999998,6,13,12,0.6374741547657203,206.2,497.0,10.5,10,0.98,1.145,1.56,20,1.4340639002646445,1.0573096224287706,0.4294521591713161,0.4294521591713161,"(-6, 13, 12)","(6, 13, 12)","(-6, 13, 12)"
2,-7,0,313284.99999999994,125398.99999999997,0,7,2,1.6358269560649379,193.2,167.6,10.6,11,195.74,238.07,95.375,14,252.57096621546614,101.09691364876467,0.5621434341003798,0.5621434341003798,"(2, -7, 0)","(0, 7, 2)","(2, -7, 0)"
-2,12,-11,331.59,1192.2500000000002,2,12,11,0.726104545095899,455.3,306.8,11.1,11,1.34,1.22,1.77,21,0.26732849222716193,0.9611942303984858,-1.1159778885981626,1.1159778885981626,"(-2, 12, -11)","(2, 12, 11)","(-2, 12, -11)"
4,-5,-18,-89.56000000000002,1027.4599999999998,4,18,5,0.6233455494126856,407.0,52.4,11.1,11,0.02,1.36,1.66,29,-0.07220344330005317,0.8283402172071528,-0.11131107893194901,0.11131107893194901,"(4, -5, -18)","(4, 18, 5)","(4, -5, -18)"
1,4,-15,9153.710000000001,4676.38,1,15,4,0.7655395142864178,441.1,181.7,11.2,11,5.56,8.92,4.12,29,7.379738510162234,3.770106500441074,0.4826756246671914,0.4826756246671914,"(1, 4, -15)","(1, 15, 4)","(1, 4, -15)"
-2,-2,15,29049.999999999996,12465.0,2,15,2,0.7801845302795704,61.5,342.6,11.2,11,28.16,35.455,14.68,14,23.420165563494237,10.049306841616376,-0.47165784777086045,0.47165784777086045,"(-2, -2, 15)","(2, 15, 2)","(-2, -2, 15)"
5,-11,-13,911.0099999999999,1173.09,5,13,11,0.6709961346374604,308.0,20.2,11.4,11,0.54,1.17,1.64,21,0.7344580044750046,0.9457474017514443,0.2056130464803655,0.2056130464803655,"(5, -11, -13)","(5, 13, 11)","(5, -11, -13)"
5,-12,-11,1374.2800000000002,972.5349999999999,5,12,11,0.6993205594200606,278.0,23.8,11.7,12,0.38,1.605,1.7999999999999998,22,1.107947164564505,0.7840595771529386,0.9284334835980348,0.9284334835980348,"(5, -12, -11)","(5, 12, 11)","(5, -12, -11)"
5,-10,-15,4182.449999999999,2379.18,5,15,10,0.6365628259870125,337.6,16.2,11.9,12,7.18,8.09,4.37,17,3.3718991897086563,1.918099466621488,-1.9853510605468632,1.9853510605468632,"(5, -10, -15)","(5, 15, 10)","(5, -10, -15)"
0,6,-12,8711.929999999998,4182.449999999999,0,12,6,0.8876444514681668,422.1,228.4,12.1,12,14.29,22.535,9.675,10,7.023574629176329,3.3718991897086563,-2.154994844745496,2.154994844745496,"(0, 6, -12)","(0, 12, 6)","(0, 6, -12)"
-2,-4,18,4062.1599999999994,2811.37,2,18,4,0.6420902480398741,13.2,343.3,12.1,12,5.01,4.9350000000000005,2.825,30,3.2749211616317986,2.2665318712647435,-0.7655214825635842,0.7655214825635842,"(-2, -4, 18)","(2, 18, 4)","(-2, -4, 18)"
-5,8,15,2245.05,1854.3700000000001,5,15,8,0.6720637504830743,135.9,461.6,12.4,12,2.25,2.84,2.175,22,1.8099636040730722,1.4949966408253637,-0.2943393877353402,0.2943393877353402,"(-5, 8, 15)","(5, 15, 8)","(-5, 8, 15)"
-3,2,14,36129.0,15190.999999999998,2,14,3,0.8237627550181085,102.5,382.3,12.8,13,31.28,37.260000000000005,15.385,30,29.127268903390135,12.247013255595213,-0.17577600772387192,0.17577600772387192,"(-3, 2, 14)","(2, 14, 3)","(-3, 2, 14)"
3,-1,-19,1202.8899999999999,1649.9899999999998,1,19,3,0.6182844733833726,449.2,92.3,12.9,13,0.37,0.915,1.185,26,0.9697722187494521,1.3302250939108384,0.45088024688072326,0.45088024688072326,"(3, -1, -19)","(1, 19, 3)","(3, -1, -19)"
2,2,-18,769.2099999999999,1611.6699999999998,2,18,2,0.6535912861086114,460.1,135.1,13.0,13,1.57,2.43,1.93,13,0.6201385732562962,1.2993314366167559,-0.7310385941380637,0.7310385941380637,"(2, 2, -18)","(2, 18, 2)","(2, 2, -18)"
-1,-3,11,21801.000000000004,9400.67,1,11,3,1.0404941610776304,99.1,299.4,13.6,14,12.49,20.53,8.83,29,17.57600789844193,7.578838134518878,0.6710801587484756,0.6710801587484756,"(-1, -3, 11)","(1, 11, 3)","(-1, -3, 11)"
-3,5,9,67128.0,27209.000000000004,3,9,5,1.11051997613339,180.8,378.5,14.1,14,50.01,61.945,25.335,22,54.1187219947071,21.935947842241475,0.18730542323751545,0.18730542323751545,"(-3, 5, 9)","(3, 9, 5)","(-3, 5, 9)"
4,-15,1,14231.999999999998,6114.539999999999,1,15,4,0.7655395142864178,122.4,81.0,14.2,14,5.56,8.92,4.12,29,11.473865621330464,4.929553843187884,1.1996756318024184,1.1996756318024184,"(4, -15, 1)","(1, 15, 4)","(4, -15, 1)"
2,-10,5,7443.040000000001,3725.78,2,10,5,1.0485289843431855,114.8,171.5,14.5,14,0.1,5.87,3.01,23,6.0005930841896795,3.003730962242877,1.9644213008290612,1.9644213008290612,"(2, -10, 5)","(2, 10, 5)","(2, -10, 5)"
3,-15,7,10252.999999999998,4795.61,3,15,7,0.7079165694189893,55.0,128.0,14.7,15,7.42,9.52,5.05,25,8.265988210757536,3.8662299544904855,0.21881476805976105,0.21881476805976105,"(3, -15, 7)","(3, 15, 7)","(3, -15, 7)"
-4,17,-8,327.02,1012.03,4,17,8,0.6199577767771367,458.5,389.2,14.7,15,0.05,0.54,1.29,20,0.2636441494861923,0.815900521694426,0.2618507327860333,0.2618507327860333,"(-4, 17, -8)","(4, 17, 8)","(-4, 17, -8)"
-1,6,-5,37183.0,15413.999999999998,1,6,5,1.512444512445269,343.4,280.6,14.8,15,20.45,36.33,14.915,20,29.977005719359944,12.42679628212393,0.7666501890808846,0.7666501890808846,"(-1, 6, -5)","(1, 6, 5)","(-1, 6, -5)"
-2,13,-13,3105.17,2394.08,2,13,13,0.6439649680820838,484.9,301.9,14.9,15,1.61,1.96,1.93,9,2.503393993211546,1.930111875120492,0.46287161108512087,0.46287161108512087,"(-2, 13, -13)","(2, 13, 13)","(-2, 13, -13)"
1,5,-17,3485.2,2641.04,1,17,5,0.6709961346374604,470.7,178.0,15.1,15,4.88,4.77,3.07,27,2.809774906089161,2.1292114994771367,-0.9722965963781508,0.9722965963781508,"(1, 5, -17)","(1, 17, 5)","(1, 5, -17)"
-3,11,-2,25749.999999999996,10709.0,2,11,3,1.028780908024842,346.4,363.5,15.2,15,5.76,10.77,4.73,29,20.759699251634306,8.633616282941817,1.7373599613490478,1.7373599613490478,"(-3, 11, -2)","(2, 11, 3)","(-3, 11, -2)"
1,-7,6,16383.0,7382.360000000001,1,7,6,1.2841804960797483,125.6,214.6,15.2,15,11.44,19.85,8.94,21,13.20800593551553,5.951672752127964,0.29706034070562715,0.29706034070562715,"(1, -7, 6)","(1, 7, 6)","(1, -7, 6)"
-1,7,-7,11412.0,5373.640000000001,1,7,7,1.196899534192196,373.3,276.9,15.3,15,11.76,13.33,5.97,11,9.200376227559252,4.332238846079698,-0.5908316377239881,0.5908316377239881,"(-1, 7, -7)","(1, 7, 7)","(-1, 7, -7)"
5,-17,-2,923.7799999999999,1065.57,2,17,5,0.6678235583082157,140.6,34.6,15.4,15,0.59,1.36,1.67,29,0.7447532028999899,0.8590645720995717,0.18014152594114075,0.18014152594114075,"(5, -17, -2)","(2, 17, 5)","(5, -17, -2)"
